iter	Passed	Remaining
0	144	144378
1	148	73989
2	151	50351
3	155	38833
4	159	31645
5	162	26866
6	164	23357
7	167	20810
8	171	18931
9	174	17324
10	177	15924
11	181	14925
12	183	13939
13	188	13270
14	190	12516
15	193	11916
16	196	11364
17	199	10886
18	200	10376
19	202	9927
20	204	9550
21	206	9164
22	207	8803
23	208	8485
24	210	8197
25	211	7913
26	212	7646
27	213	7402
28	214	7191
29	216	6988
30	217	6794
31	218	6608
32	219	6440
33	221	6284
34	222	6130
35	223	5985
36	224	5844
37	225	5711
38	226	5586
39	227	5467
40	228	5351
41	229	5242
42	230	5139
43	232	5041
44	233	4952
45	234	4865
46	235	4778
47	236	4699
48	238	4620
49	239	4547
50	240	4478
51	241	4409
52	242	4340
53	244	4279
54	245	4224
55	247	4166
56	248	4107
57	249	4051
58	250	3995
59	251	3945
60	252	3894
61	254	3846
62	255	3798
63	256	3750
64	257	3708
65	258	3661
66	259	3619
67	261	3579
68	262	3538
69	263	3497
70	264	3457
71	265	3419
72	266	3382
73	267	3346
74	268	3313
75	269	3280
76	270	3247
77	271	3215
78	273	3182
79	273	3150
80	275	3120
81	276	3092
82	277	3064
83	278	3035
84	279	3007
85	280	2979
86	281	2954
87	282	2930
88	283	2904
89	284	2878
90	285	2852
91	286	2829
92	287	2807
93	289	2786
94	290	2763
95	291	2741
96	292	2719
97	293	2697
98	294	2676
99	295	2656
100	296	2636
101	297	2616
102	298	2596
103	299	2577
104	300	2558
105	301	2541
106	302	2525
107	303	2510
108	305	2493
109	306	2477
110	307	2461
111	308	2446
112	309	2430
113	310	2413
114	311	2397
115	312	2381
116	313	2365
117	314	2351
118	315	2337
119	316	2322
120	317	2307
121	318	2292
122	319	2278
123	320	2266
124	321	2252
125	322	2238
126	323	2225
127	324	2211
128	325	2198
129	326	2186
130	327	2173
131	328	2162
132	329	2149
133	330	2137
134	331	2126
135	332	2114
136	333	2103
137	335	2092
138	335	2081
139	336	2069
140	338	2059
141	338	2048
142	340	2038
143	341	2027
144	342	2017
145	343	2009
146	344	2001
147	346	1992
148	347	1982
149	348	1973
150	349	1963
151	350	1954
152	351	1944
153	352	1936
154	353	1924
155	354	1915
156	355	1906
157	356	1897
158	357	1889
159	358	1881
160	359	1873
161	360	1865
162	361	1857
163	362	1849
164	363	1841
165	365	1834
166	366	1827
167	366	1816
168	367	1808
169	368	1800
170	369	1792
171	370	1784
172	371	1778
173	373	1770
174	374	1763
175	375	1755
176	375	1747
177	377	1741
178	378	1734
179	379	1726
180	379	1718
181	380	1711
182	381	1704
183	382	1697
184	383	1690
185	384	1684
186	385	1677
187	386	1670
188	387	1663
189	388	1657
190	390	1651
191	391	1645
192	391	1639
193	392	1632
194	393	1626
195	394	1619
196	395	1613
197	397	1608
198	398	1602
199	399	1596
200	400	1591
201	401	1584
202	402	1578
203	403	1573
204	404	1567
205	405	1561
206	406	1555
207	407	1549
208	407	1543
209	409	1538
210	410	1533
211	410	1527
212	411	1521
213	412	1515
214	413	1510
215	414	1505
216	415	1500
217	416	1495
218	417	1490
219	418	1484
220	419	1479
221	420	1474
222	421	1470
223	422	1465
224	423	1460
225	424	1454
226	425	1449
227	426	1444
228	427	1440
229	428	1436
230	429	1431
231	431	1427
232	432	1423
233	433	1418
234	434	1414
235	435	1410
236	436	1405
237	437	1400
238	438	1396
239	439	1391
240	440	1386
241	441	1382
242	442	1378
243	443	1374
244	444	1369
245	445	1365
246	446	1361
247	447	1357
248	448	1353
249	449	1349
250	450	1345
251	451	1340
252	452	1336
253	453	1332
254	455	1329
255	456	1325
256	457	1321
257	458	1317
258	459	1314
259	460	1310
260	461	1306
261	462	1302
262	463	1298
263	464	1294
264	465	1290
265	466	1287
266	467	1283
267	468	1279
268	469	1275
269	470	1272
270	471	1268
271	472	1265
272	473	1262
273	475	1258
274	476	1255
275	477	1251
276	478	1248
277	479	1245
278	480	1241
279	481	1238
280	482	1234
281	483	1230
282	484	1227
283	485	1223
284	486	1220
285	487	1216
286	488	1213
287	489	1209
288	490	1206
289	491	1203
290	492	1200
291	493	1196
292	494	1193
293	495	1190
294	496	1186
295	497	1183
296	498	1180
297	499	1176
298	500	1173
299	501	1169
300	502	1166
301	503	1163
302	504	1160
303	505	1157
304	506	1154
305	507	1150
306	508	1147
307	509	1144
308	510	1142
309	511	1138
310	512	1135
311	513	1132
312	514	1129
313	515	1126
314	516	1123
315	517	1120
316	518	1117
317	519	1114
318	520	1111
319	521	1108
320	522	1105
321	523	1102
322	525	1100
323	526	1098
324	527	1095
325	529	1094
326	530	1092
327	531	1089
328	533	1087
329	534	1084
330	535	1081
331	536	1079
332	537	1076
333	538	1074
334	539	1071
335	540	1068
336	542	1066
337	543	1064
338	544	1061
339	545	1059
340	546	1056
341	547	1053
342	548	1051
343	550	1048
344	551	1046
345	552	1044
346	553	1042
347	555	1040
348	556	1038
349	557	1036
350	559	1033
351	560	1032
352	561	1029
353	562	1026
354	563	1024
355	564	1021
356	565	1018
357	566	1016
358	567	1014
359	568	1011
360	569	1008
361	570	1006
362	572	1003
363	573	1001
364	574	998
365	575	996
366	576	994
367	577	991
368	578	988
369	579	986
370	580	983
371	581	981
372	582	978
373	583	976
374	584	973
375	585	971
376	586	968
377	587	966
378	588	964
379	589	961
380	590	959
381	591	956
382	592	954
383	593	952
384	594	949
385	595	947
386	596	945
387	597	942
388	598	940
389	599	937
390	600	935
391	601	933
392	602	931
393	603	928
394	604	926
395	605	923
396	606	921
397	607	919
398	608	916
399	609	914
400	610	912
401	612	910
402	613	908
403	614	906
404	615	904
405	616	901
406	617	899
407	618	897
408	619	895
409	620	893
410	621	891
411	623	889
412	623	886
413	624	884
414	626	882
415	627	880
416	628	878
417	629	876
418	630	874
419	631	872
420	632	870
421	633	868
422	635	866
423	636	864
424	637	862
425	638	859
426	639	858
427	640	856
428	641	854
429	642	851
430	643	849
431	644	847
432	646	846
433	647	844
434	648	842
435	649	839
436	650	837
437	651	835
438	652	833
439	653	831
440	654	829
441	655	827
442	656	825
443	657	823
444	658	821
445	659	819
446	660	816
447	661	814
448	662	812
449	663	810
450	664	808
451	665	806
452	666	804
453	667	802
454	668	800
455	669	798
456	670	796
457	671	794
458	672	792
459	673	790
460	674	788
461	675	786
462	676	784
463	677	782
464	678	780
465	679	778
466	680	777
467	682	775
468	683	773
469	684	771
470	685	770
471	686	767
472	687	765
473	688	763
474	689	762
475	690	760
476	691	758
477	692	756
478	693	754
479	694	752
480	695	750
481	696	748
482	697	746
483	698	744
484	699	743
485	700	741
486	701	739
487	702	737
488	703	735
489	704	733
490	705	731
491	706	729
492	708	728
493	709	726
494	710	725
495	711	723
496	712	721
497	714	719
498	715	718
499	716	716
500	717	714
501	718	713
502	719	711
503	720	709
504	721	707
505	723	705
506	724	704
507	725	702
508	726	700
509	727	699
510	728	697
511	729	695
512	731	694
513	732	692
514	733	690
515	734	688
516	735	686
517	736	685
518	737	683
519	738	681
520	739	679
521	740	678
522	741	676
523	742	674
524	743	672
525	744	670
526	745	669
527	746	667
528	747	665
529	748	663
530	749	662
531	750	660
532	751	658
533	752	657
534	754	655
535	755	653
536	756	651
537	757	650
538	757	648
539	759	646
540	760	644
541	761	643
542	762	641
543	763	639
544	764	637
545	764	636
546	766	634
547	767	632
548	768	631
549	769	629
550	770	627
551	771	626
552	772	624
553	773	622
554	774	620
555	775	619
556	776	617
557	777	615
558	778	614
559	779	612
560	780	611
561	781	609
562	783	607
563	784	606
564	785	604
565	786	602
566	787	601
567	788	599
568	789	597
569	790	596
570	791	594
571	792	592
572	793	591
573	794	589
574	795	587
575	796	586
576	797	584
577	798	582
578	799	581
579	800	579
580	801	578
581	802	576
582	803	574
583	804	573
584	805	571
585	806	569
586	807	568
587	808	566
588	810	565
589	811	563
590	812	562
591	813	560
592	814	559
593	815	557
594	816	555
595	817	554
596	818	552
597	819	551
598	820	549
599	821	547
600	822	546
601	823	544
602	824	542
603	825	541
604	826	539
605	827	538
606	828	536
607	830	535
608	831	533
609	832	532
610	833	530
611	834	528
612	835	527
613	836	525
614	837	524
615	838	522
616	838	520
617	839	519
618	840	517
619	841	516
620	843	514
621	843	512
622	844	511
623	845	509
624	846	508
625	847	506
626	848	505
627	849	503
628	850	501
629	851	500
630	852	498
631	854	497
632	855	495
633	856	494
634	857	492
635	858	491
636	859	489
637	860	488
638	861	486
639	862	485
640	863	483
641	864	482
642	865	480
643	866	479
644	867	477
645	868	476
646	869	474
647	870	473
648	871	471
649	872	470
650	874	468
651	874	466
652	875	465
653	876	463
654	877	462
655	878	460
656	879	459
657	880	457
658	881	456
659	883	454
660	883	453
661	884	451
662	886	450
663	887	448
664	888	447
665	889	445
666	890	444
667	891	442
668	891	441
669	892	439
670	893	438
671	894	436
672	896	435
673	897	433
674	898	432
675	899	431
676	900	429
677	901	428
678	902	426
679	903	425
680	904	423
681	905	422
682	906	420
683	907	419
684	908	417
685	910	416
686	911	415
687	912	413
